,Topic,Pledge,Pledge status,PreProcessedText
150,8,"As a consultancy and Co-founding partner of Balkan Green (www.hyvae.com and www.balkan.green): Within the Green Destinations, Good Travel Seal and Travelife for Tour Operators development and monitoring programs, educate and support a growing number of destinations and businesses make measurable changes to more sustainable practices (and be successfull = get awarded in doing so). The objective as of October 2022 is to support at least 20 destinations and 50 businesses.",Published,consultancy co found partner balkan green www hyvae com www balkan green within green destination good travel seal travelife tour operator development monitoring program educate support grow number destination business make measurable change sustainable practice successfull get award objective october support least destination business
151,8,"IN2destination provides support to tourism companies and SMEs in transitioning to more sustainable and responsible practices, such as reducing carbon emissions and using eco-friendly products. The company provides guidance on sustainability planning, certification, and marketing. IN2destination's concrete target for 2030 is to assist at least 20 tourism companies and SMEs in their green transition efforts.",Ready for publishing,indestination provide support tourism company smes transition sustainable responsible practice reduce carbon emission use eco friendly product company provide guidance sustainability planning certification marketing indestination concrete target assist least tourism company smes green transition effort
152,8,"In continuity with the incentive measures financed by the 2014-2020 ERDF seven-year period to support operators in the Lombardy accommodation sector, the Lombardy Region still aims at investing in the upgrading and realisation of hotel and non-hotel accommodation facilities. In particular, the calls for tenders that will be issued under the 2021-2027 ERDF programming period will focus on the environmental sustainability of the investments of hospitality enterprises.

The target, at the end of the programming period, is the percentage increase of beneficiaries adopting projects with positive environmental impact",Ready for publishing,continuity incentive measure finance erdf seven year period support operator lombardy accommodation sector lombardy region still aim invest upgrade realisation hotel non hotel accommodation facility particular call tender issue erdf programming period focus environmental sustainability investment hospitality enterprises target end programming period percentage increase beneficiary adopt project positive environmental impact
153,8,"In Estonia, government has allocated 14 million euros of REACT EU funds for product development support for tourism sector. Purpose of the support measure is  to develop the international competitiveness of Estonian tourism products and thereby restore the growth of exports of Estonian tourism services to the pre-crisis level.
The sub-objectives of the provision of support are:
  1) creation of travel motivation to visit Estonia or to extend the period of visit of tourists visiting Estonia through the development of new or renewed sustainable and distinctive tourism products;
  2) the transition of a tourism undertaking to activities that create higher added value by developing sustainable tourism products of appropriate quality and the accompanying improvement of economic results;
  3) the development of sustainable tourism products that support the green and digital transition in the tourism sector and take into account the integrated journey of visitors, ensuring a more sustainable functioning of the tourism ecosystem in the future;
  4) the provision of an attractive sustainable tourism product covering a comprehensive range of visitors across destinations or businesses.
Totally 91 projects are supported so by the end of 2023 we expect to offer tourists 91 new green and sustainable tourism products.",Published,estonia government allocate million euro react eu fund product development support tourism sector purpose support measure develop international competitiveness estonian tourism product thereby restore growth export estonian tourism service pre crisis level sub objective provision support creation travel motivation visit estonia extend period visit tourist visit estonia development new renew sustainable distinctive tourism product transition tourism undertake activity create high added value develop sustainable tourism product appropriate quality accompany improvement economic result development sustainable tourism product support green digital transition tourism sector take account integrated journey visitor ensure sustainable function tourism ecosystem future provision attractive sustainable tourism product cover comprehensive range visitor across destination business totally project support end expect offer tourists new green sustainable tourism product
154,8,"In 2021 Mirabilia signed the Glasgow Declaration on Tourism (COP 26), under the auspices of the UNWTO, which provides 5 paths (measurement, decarbonization, regeneration, collaboration, and financing) to be implemented on an annual basis. Mirabilia is implementing the Climate Action Plan on Tourism, focusing on measuring the ecological footprint and CO2 emissions, using the technical support of the European Sustainable Tourism Network, Ecotrans. A pilot project experimenting the use of the UNEP (United Nations Environment Programme) Resource Efficiency tool has been launched to calculate the impact on climate of hotels and tour operators on an initial sample of 20 companies. It involves tourism experts to support companies in collecting detailed information and will extend transnationally. We commit to presenting the first results of the assessment in a dedicated event in Matera in spring 2023 and to support 50 companies by 2025. Depending on pilot results but we intend to extend it to a larger number of companies.",Ready for publishing,mirabilia sign glasgow declaration tourism cop auspex unwto provide paths measurement decarbonization regeneration collaboration financing implement annual basis mirabilia implement climate action plan tourism focus measure ecological footprint co emission use technical support european sustainable tourism network ecotrans pilot project experiment use unep united nation environment programme resource efficiency tool launch calculate impact climate hotel tour operator initial sample company involve tourism expert support company collect detailed information extend transnationally commit present first result assessment dedicate event matera spring support company depend pilot result intend extend large number company
155,8,"As part of the Taskforce and Perspective Action Agenda, a working group composed of knowledge institutions, industries, NTOs, DMOs and public authorities developed a roadmap: ""Towards climate-neutral tourism"" https://www.nbtc.nl/en/site/knowledge-base/the-road-to-climate-neutral-tourism.htm This roadmap is an exploration of what makes a tourist destination sustainable, how to make this measurable, and ways to make it sustainable. It is a joint process of ministry, CELTH, industries, entrepreneurs, NBTC, DMOs and cities, regions. The roadmap shows the fullest possible overview of challenges, opportunities and obstacles we face as a sector on the road to climate-neutral tourism. The course document will be translated into concrete actions and tools for tourism stakeholders from 2023 onwards. In 2023 at least 5 cities will develop their own roadmap for sustainable tourism with concrete actions.",Ready for publishing,part taskforce perspective action agenda work group compose knowledge institution industry ntos dmos public authority develop roadmap towards climate neutral tourism roadmap exploration make tourist destination sustainable make measurable way make sustainable joint process ministry celth industry entrepreneurs nbtc dmos city region roadmap show full possible overview challenge opportunity obstacle face sector road climate neutral tourism course document translate concrete action tool tourism stakeholder onwards least city develop roadmap sustainable tourism concrete action
156,8,"The Sustainable Development Policy of the NCA CVB translates into a CSR Charter with specific actions, commitments, indicators and objectives managed internally and responding to sustainable development issues. Each year, it will be measured and evaluated in order to analyze our performance and space for improvement. 

Specifically related to the green, thus environment, is to Participate in upskilling local tourism providers (event agencies, restaurants, hotels). We will set up a strategy (workshops, seminars...) to promote leading certification acquisition  in the field of environmental responsibility and sustainable operation within the tourism industry. The target for the implementation of all actions is set for 2025.",Published,sustainable development policy nca cvb translate csr charter specific action commitment indicator objective manage internally respond sustainable development issue year measure evaluate order analyze performance space improvement specifically relate green thus environment participate upskilling local tourism provider event agency restaurant hotel set strategy workshop seminar promote lead certification acquisition field environmental responsibility sustainable operation within tourism industry target implementation action set
157,8,"In 2019, the Austrian Hoteliers Association (ÖHV) has launched the initiative ""Zeichen setzen"" to actively support its members in the field of sustainability. Ongoing guidelines and best practices in the areas of: Energy efficiency, waste avoidance, plastic reduction. The goal is to increase the share of ecocertified businesses by 20% until 2025. ÖHV is also a partner in the EU project ""European Tourism Goining Green 2030"".",Published,austrian hotelier association öhv launch initiative zeichen setzen actively support member field sustainability ongoing guideline best practice area energy efficiency waste avoidance plastic reduction goal increase share ecocertified business öhv also partner eu project european tourism goining green
158,8,"Action: Facilitate the transition process towards sustainable hotel structures, which would be able to contribute to the fight against climate change, using technology to reduce energy consumption and activate circular economy processes

Target: 4 million euros allocated  by 2025 to companies operating in the tourist accommodation sector and running investment projects containing measures against climate change and for energy efficiency, also using renewable sources, sustainable methods and circular economy processes",Ready for publishing,action facilitate transition process towards sustainable hotel structure would able contribute fight climate change use technology reduce energy consumption activate circular economy process target million euro allocate company operate tourist accommodation sector run investment project contain measure climate change energy efficiency also use renewable source sustainable method circular economy process
159,8,"We seek to promote digital solutions with enable to green transition. We identify, coach and mentor innovators and entrepreneurs through our engagement with university, incubators and accelerators. Once we identify scalable solutions with the right team we seek to be their first investor. By 2025, we hope to invest in at least 1 company in this arena.",Ready for publishing,seek promote digital solution enable green transition identify coach mentor innovator entrepreneurs engagement university incubator accelerator identify scalable solution right team seek first investor hope invest least company arena
160,8,"ECO-FRIENDLY ACCOMMODATION
Current situation: Out of the existing 69 hotels, 44 hostels and 2,301 private accommodation providers on the territory of the City of Zagreb, there is no accommodation facility with the label of product and service with less adverse environmental impact. Considering that recently there has been a high rise in eco tours, this demand should be followed by the offer such as eco-friendly accommodation.
Measure: Using the planned activities, information service and financial support to stimulate accommodation providers to obtain some of these ECO labels, and ensuring their common visibility.
Objective: Having 5% of accommodation facilities certified with some of the ECO labels in the area of the City of Zagreb by 2030.",Published,eco friendly accommodation current situation exist hotel hostel private accommodation provider territory city zagreb accommodation facility label product service less adverse environmental impact consider recently high rise eco tour demand follow offer eco friendly accommodation measure use planned activity information service financial support stimulate accommodation provider obtain eco label ensure common visibility objective accommodation facility certify eco label area city zagreb
161,8,"The Global Association for the Attractions Industry (IAAPA) represents more than 6,000 attractions, suppliers, and individual members from more than 100 countries. In Europe, we have over 1,400 members, including professionals from amusement parks, theme parks, attractions, water parks, resorts, family entertainment centres, zoos, aquariums, science centres, museums, manufacturers, and suppliers. 

Our industry is a key contributor to Europe’s tourism ecosystem through our contribution to EU initiatives such as the EU Tourism Manifesto, whilst our diverse membership attracts international, as well as national visitors. As an active contributor to the tourism ecosystem and counting on an active and varied membership base, IAAPA is strongly committed and resonates with the goal of a green transition for tourism companies. 

IAAPA holds three Expos yearly across the globe, including one in Europe. Last year, IAAPA Expo Europe gathered more than 11,000 industry professionals from 94 countries over the course of four days. The expos provide a forum for discussions surrounding current trends, objectives, and the future of the industry. In fact, a key aspect of every expo is the educational portion which showcases discussions on a variety of important topics for the industry and its members. IAAPA remains committed to ensuring that the green transition and the sharing of best practices and the showcasing of discussions thereof, remains an integral topic of the Expo’s educational objectives. 

Topics range from strategic approaches to sustainable operations and sustainable design procedures, over sustainable finance and investment to the social impacts of our facilities, green labels and certification as well as sustainability strategy creation and monitoring. 

As one of the leading voices for the attractions industry, IAAPA commits to awarding the topic of a green transition a primarily role as part of our educational goals throughout IAAPA Expo with the aim of increasing awareness on this important aspect and sharing best practices between our members and other interested stakeholders. 

We also work on solutions to make the management of both the association and IAAPA’s global events primary examples for the drive for sustainability in the industry. IAAPA is a strong believer that the future of our industry is a sustainable one and that there will be a growing number of important discussions to be held to ensure that our industry is up to the task.",Ready for publishing,global association attraction industry iaapa represent attraction supplier individual member country europe member include professional amusement park theme parks attraction water park resort family entertainment centre zoos aquarium science centre museums manufacturer supplier industry key contributor europe tourism ecosystem contribution eu initiatives eu tourism manifesto whilst diverse membership attract international well national visitor active contributor tourism ecosystem count active varied membership base iaapa strongly commit resonates goal green transition tourism company iaapa hold three expo yearly across globe include one europe last year iaapa expo europe gather industry professional country course four day expos provide forum discussion surround current trend objectives future industry fact key aspect every expo educational portion showcase discussion variety important topic industry member iaapa remain committed ensure green transition share best practice showcasing discussion thereof remain integral topic expos educational objective topic range strategic approach sustainable operation sustainable design procedure sustainable finance investment social impact facility green label certification well sustainability strategy creation monitor one leading voice attraction industry iaapa commits award topic green transition primarily role part educational goal throughout iaapa expo aim increase awareness important aspect share best practice member interested stakeholder also work solution make management association iaapas global event primary example drive sustainability industry iaapa strong believer future industry sustainable one grow number important discussion hold ensure industry task
162,8,"Our Chamber of commerce is partner of the Enterprise Europe Network (https://een.ec.europa.eu/)  will organize 3 living labs during 2022 with a local Mountain association in Piedmont: the focus will be Green and digital transition for mountain areas.
The programme of the 3 living labs is under costruction but hte dates are already fixed: 17 May 2022, 21/06/2022, 13/09/2022",Published,chamber commerce partner enterprise europe network organize living labs local mountain association piedmont focus green digital transition mountain area programme live labs costruction hte date already fix may
163,8,"By 2025:
- Get certified as a sustainable tour operator ""Travelife Partner - Committed to Sustainability""
- Compensate 110% of emitted CO2 by all our trips
- Plant 1 tree for every guest that travels with us

By 2030:
- Get certified as a sustainable tour operator as ""Travelife Certified - Excellence in Sustainability""",Ready for publishing,get certify sustainable tour operator travelife partner commit sustainability compensate emit co trip plant tree every guest travel u get certify sustainable tour operator travelife certify excellence sustainability
164,8,"• TUI Hotels and hotel partners aim to achieve independent sustainability certifications that meet the standards of the Global Sustainable Tourism Council (GSTC) and demonstrate social and environmental good practice. To support hotel partners achieve our sustainability targets and pursue certification, TUI will assist them on their journey with dedicated resources and materials, face-to-face meetings and conferences, as well as online collaboration and training for purchasing managers. 
• TUI will further engage and keep its partners fully updated with the latest trends around sustainable purchasing requirements and criteria, technologies and opportunities via the sustainability section in its B2B online platform “TUIPartners.com/sustainability”, which can be accessed by its accommodations and tours, activities, excursions and transport providers.
• 80% of TUI Hotels & Resorts should be certified to a GSTC-Recognised standard by latest 2025.",Published,tui hotel hotel partner aim achieve independent sustainability certification meet standard global sustainable tourism council gstc demonstrate social environmental good practice support hotel partner achieve sustainability target pursue certification tui assist journey dedicate resource material face face meeting conference well online collaboration train purchasing manager tui engage keep partner fully update late trend around sustainable purchasing requirement criteria technology opportunity via sustainability section bb online platform tuipartners com sustainability access accommodation tour activity excursion transport provider tui hotel resort certify gstc recognise standard late
165,8,"A tool, to be launched in 2023, helps implementation of sustainability actions, in particular environmental ones, will be launched. The tool will give companies the opportunity to verify their positioning on ESG - Environmental Social Governance criteria, helping them to adopt production processes and business strategies consistent with new paradigms envisaged by international markets and increasingly required by the financial-credit system. We intend to involve at least 30 companies in the tourism sector for 2025 and 130 for 2030.",Published,tool launch help implementation sustainability action particular environmental one launch tool give company opportunity verify position esg environmental social governance criterion help adopt production process business strategy consistent new paradigm envisage international market increasingly require financial credit system intend involve least company tourism sector
166,8,"Quick and efficient actions are needed to make up for the “green talent gap” as to re-strengthen the sustainable competitiveness of European businesses, as called for by the European Skills Agenda (European Commission, 2020). Only then tourism industry of the EU will be able to master the twin transition challenges and associated EC targets by 2030 (and 2050). 

Actions of our organisation:
Therefore, the large scale need for the development of qualification portfolios that empower individuals to actively contribute to a successful twin transition in tourism is obvious. To react to those needs, Univations plans to set up a consortium in 2022 and 2023 that represents 3+ tourism eco-systems in the EU. 

Target Measures for 2025:
This consortium will then apply for funding in 2023 as to implement actions from 2023 onwards that help tourism companies, esp. SMEs, to overcome the green and digital skills gap. It is our plan to trigger 2-3 projects in the field, involving up to ~15+ organizations (HEIs, businesses, VET, intermediaries) from 3+ tourism eco-systems until 2025. involving 200+ learners (business & higher education)

Target Measures for 2030:
6+ established and operational alliances within tourism eco-systems in the EU that have become powerhouses for fostering green and digital skills development within their regional scope. 1 European network combining these alliances to across the EU.",Published,quick efficient action need make green talent gap strengthen sustainable competitiveness european business call european skill agenda european commission tourism industry eu able master twin transition challenge associate ec target action organisation therefore large scale need development qualification portfolio empower individual actively contribute successful twin transition tourism obvious react need univations plan set consortium represent tourism eco system eu target measure consortium apply funding implement action onwards help tourism company esp smes overcome green digital skill gap plan trigger project field involve organization heis business vet intermediary tourism eco system involve learner business high education target measure establish operational alliance within tourism eco system eu become powerhouse foster green digital skill development within regional scope european network combine alliance across eu
167,8,"Within the European project Soclimpact: https://soclimpact.net/ , related to downscaling climate change impact  and decarbonization pathways in EU islands, we commit ourselves to:

External:
- Provide services to SMEs within the REIS Platform: https://reissoclimpact.net/, providing information in at least the following hazards related to tourism industry: 
1. Seagrass loss
2. Fire Weather Index
3. Beach reduction
4. Humidity Index – Humidex percentage of days when T >35oC
5. Vector Suitability Index for Aedes Albopictus (Asian Tiger Mosquito)
 

Internal:
- Integrate the use of filters for consuming tap water, reducing the consumption of bottle water and its plastic to zero withing the Institute of Tourism and Sustainable Economic Development-ULPGC by 2024",Published,within european project soclimpact relate downscaling climate change impact decarbonization pathways eu island commit external provide service smes within real platform provide information least follow hazard related tourism industry seagrass loss fire weather index beach reduction humidity index humidex percentage day oc vector suitability index aedes albopictus asian tiger mosquito internal integrate use filter consume tap water reduce consumption bottle water plastic zero withing institute tourism sustainable economic development ulpgc
168,8,Visit Tallinn has set targets for the tourism companies to achieve the green labels by 2035. Supports fully the different activities in dissemination the information to target groups and raising interest and the need to implement sustainable practices.,Published,visit tallinn set target tourism company achieve green label support fully different activity dissemination information target group raise interest need implement sustainable practice
169,8,"We are providing technical and financial support to tourism SMEs for green transition and digital transformation. The programmes we are carrying out are targeting specifically tourism SMEs and startups and they consists in capacity building programmes, networking, access to funding. Our target is to reach more than 240 tourism SMEs in 3 years on average.",Published,provide technical financial support tourism smes green transition digital transformation programme carry target specifically tourism smes startups consist capacity build programme network access funding target reach tourism smes year average
170,9,"Tourism Impact Model (TIM) is an award-winning tool, Tourism innovation summit, Spain – The best 
innovation in AI and Data Analytics Award 2020, using real data to create an objective picture of the impact 
of tourism in a certain micro-location. It analyses different societal aspects: from environment, economy and 
culture to collaboration.
By modelling the impact using different scenarios, it also acts as a digital twin of a tourist destination and 
allows data-driven strategic planning aligned with the UN Sustainable Development Goals.
TIM enables local decision-makers and strategy makers to consider the challenges, opportunities and future 
of a tourism location holistically - exploring the impact of new developments on existing services. As a result, 
the correct investments in tourism and connected sectors are funded (cross-sectoral impact: traffic, construction, energy, food, medicine, etc.). It generates sustainable revenue and is securing higher life quality of life of the local residents. 

TIM has already been tested and used in 36 locations around Europe (Black Sea area, Slovenia, Danube 
region, etc.) and is available on the European market. Until 2025 we plan to make 40-50 new TIM assessments around Europe. Which will result in the take-up of data-driven destination management tools and in increased offer of personalised tourism services.
On a long term, until 2030 and above, our committment is to fully to support tourism destinations to create personalised/sustainable tourism experiences while successfully managing tourism flows by leveraging the use of TIM tool and analytics. 

More about TIM: https://tourism4-0.org/tim/.",Published,tourism impact model tim award win tool tourism innovation summit spain best innovation ai data analytics award use real data create objective picture impact tourism certain micro location analyse different societal aspect environment economy culture collaboration model impact use different scenario also act digital twin tourist destination allow data driven strategic planning align un sustainable development goal tim enable local decision maker strategy maker consider challenge opportunity future tourism location holistically explore impact new development exist service result correct investment tourism connect sector fund cross sectoral impact traffic construction energy food medicine etc generate sustainable revenue secure high life quality life local resident tim already test used location around europe black sea area slovenia danube region etc available european market plan make new tim assessment around europe result take data drive destination management tool increase offer personalised tourism service long term committment fully support tourism destination create personalise sustainable tourism experience successfully manage tourism flow leverage use tim tool analytics tim
171,9,"As Austrian National Tourist Office we offer platforms to improve the competitiveness of the national torusim industry. One of the platfroms is Data Space Tourism DST (Austria) launched 2022. We cooperate with the Data Intelligence Initiative https://www.dataintelligence.at/en/ and a local startup Nexyo to create a national tourism data space. We proceed through use case based approach and we have developed 4 use cases so far (covering energy consumption and mobility) and two new are planned for this year. We also plan to launch a marketplace this year, where we will offer ready-to-use data products and data sets to the destinations and SMEs. We plan to onboard 5 new stakeholders this year and concludes data use agreements with 5 new partners (e.g. telecom providers, payment services,...)",Ready for publishing,austrian national tourist office offer platforms improve competitiveness national torusim industry one platfroms data space tourism dst austria launch cooperate data intelligence initiative local startup nexyo create national tourism data space proceed use case base approach develop use case far cover energy consumption mobility two new plan year also plan launch marketplace year offer ready use data product data set destination smes plan onboard new stakeholder year conclude data use agreement new partner telecom provider payment service
172,9,"Global Blue has experience sharing tourism data with EU Member State governments (most recently in Spain) to help inform their national statistics and tourism growth strategy. Global Blue would commit to providing this at an EU level on a regular basis. This data can be used for personalized tourism services, destination management, monitoring and service provisions.
Additionally, we would be happy to cooperate towards agreeing on common practices for tourism data sharing. We hope to establish by 2025 data sharing practices in several destinations which have contributed to destination management and tourism services development and have been shared as best practices on tourism data sharing.",Published,global blue experience share tourism data eu member state government recently spain help inform national statistic tourism growth strategy global blue would commit provide eu level regular basis data use personalized tourism service destination management monitoring service provision additionally would happy cooperate towards agree common practice tourism data share hope establish data share practice several destination contribute destination management tourism service development share best practice tourism data share
174,9,"IN2destination promotes the use of data-driven approaches in tourism, such as using big data to understand consumer preferences and behavior. The company provides guidance on data collection, analysis, and visualization for tourism stakeholders. IN2destination's concrete target for 2025 is to assist at least 5 destinations in developing data-driven tourism services.",Ready for publishing,indestination promotes use data driven approach tourism use big data understand consumer preference behavior company provide guidance data collection analysis visualization tourism stakeholder indestination concrete target assist least destination develop data driven tourism service
175,9,"Here, once again, our best tool is the Tourism of Tomorrow Lab. ToT Lab supports developing data sharing practices with consultancy support for destinations, creating and sharing best practices to engage an continuously increasing number of destinations in data-driven management practices every year.",Published,best tool tourism tomorrow lab tot lab support develop data share practice consultancy support destination create share best practice engage continuously increase number destination data driven management practice every year
176,9,"We read along with the Code of Conduct and we are open to data sharing where possible. This is done in the EU context within ETC, and likewise by being part of UNWTO/ ETC's newly established Datalab network. Within our national Data & Development Lab we are testing new ways to measure and impact tourism/ visitor flows in regions and cities. By 2027 we aim to be able to better balance out tourism throughout the country, by using big data sources and predictive modelling. This is all for the benefit of a more data-driven sector.",Ready for publishing,read along code conduct open data share possible do eu context within etc likewise part unwto etc newly establish datalab network within national data development lab test new way measure impact tourism visitor flow region city aim able good balance tourism throughout country use big data source predictive modelling benefit data driven sector
177,9,"One of our regional flagship initiatives consists in the direct commercialization of tourist services. Since 2018, Pays de la Loire launched e-RESA, our regional online booking system (commission-free on sales). It is supported by e-SPRIT, our regional database, and developed in collaboration with all our partners. These tools now need to be updated and extended to new activities. It aims at providing professionals and tourist offices with a tool for managing availability (overnight stays, product catalogues, equipment stocks), in parallel of online reservations on their own websites (direct sales). It will also continue to promote bookable offers via a marketplace on the websites of partner destinations and will develop gateways to broaden the distribution channels of tourism professionals towards operators with low commission rates, particularly those related to ethical and sustainable tourism. 
In practice, we aim to raise the number of members of the eRESA system from 300 by 1000 by 2025, particularly activity and leisure service providers. We also expect by 2025 an increase by 10 million€ in the turnover generated in the region thanks to sales via the eRESA system tools. We hope to reach 100% of our stakeholders connected to an online booking tool by 2030.",Published,one regional flagship initiative consist direct commercialization tourist service since pay de la loire launch resa regional online book system commission free sale support sprit regional database develop collaboration partner tool need update extend new activity aim provide professional tourist office tool manage availability overnight stay product catalogue equipment stock parallel online reservation website direct sale also continue promote bookable offer via marketplace website partner destination develop gateway broaden distribution channel tourism professional towards operator low commission rate particularly related ethical sustainable tourism practice aim raise number member eresa system particularly activity leisure service provider also expect increase million turnover generate region thanks sale via eresa system tool hope reach stakeholder connect online booking tool
178,9,"The Tourism Cloud Platform and the Destination Network use the Destination Market Intelligence Dashboard and the individual Business Market Intelligence Dashboard, as well as an open data approach, to provide non-bookable content, bookable content, business transactions, and statistics and insights from meta data within the dashboards. This data can be accessed through API or CSV export by respective stakeholders.

With this, a destination is able to provide numerous new services, cross-selling between products, and most importantly have a single point of truth data store for all digital presence aspects like websites, destination portals, tour operators, accommodation providers, experience providers, tourism info center and traveler on the destination portal and the individual websites. All this data is synchronized and consistent in content. The use of data-driven tourism services enables the destination to make informed decisions about the tourism industry and respond to changing market trends, resulting in a more efficient and effective tourism industry, which in turn positively impacts the destination.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing,tourism cloud platform destination network use destination market intelligence dashboard individual business market intelligence dashboard well open data approach provide non bookable content bookable content business transaction statistic insight meta data within dashboard data access api csv export respective stakeholder destination able provide numerous new service cross sell product importantly single point truth data store digital presence aspect like website destination portal tour operator accommodation provider experience provider tourism info center traveler destination portal individual website data synchronize consistent content use data driven tourism service enable destination make informed decision tourism industry respond change market trend result efficient effective tourism industry turn positively impact destination goal work least tourism authority destination make feature available
179,9,"SmartGuide pledges to collect, aggregate, analyze and offer to tourism boards precise geolocated data on the behavior of tourists. This big data includes street-level destination heatmaps with unprecedented precision (based on GPS, not telecom BTS), we know what tourists from different countries do, where they spend their time, what content they consume, what they find boring, and what interests them. Destinations and tourism boards can use this understanding for Smart Destination Management and marketing like never before.
See an example: https://drive.google.com/file/d/1-VK6Ex9IJnvrCB9cDMw3rMXTaAex2H0d/view?usp=sharing
At this point, we are collecting 10s of Millions of data points yearly which allows insight such as these mentioned above. By 2025, we aim to collect 5 Billion geolocated activities per year and provide the most robust data on the behavior of tourists for those destinations where guides have been created to be available for the tourists.",Published,smartguide pledge collect aggregate analyze offer tourism board precise geolocated data behavior tourist big data include street level destination heatmaps unprecedented precision base gps telecom bts know tourist different country spend time content consume find boring interest destination tourism board use understanding smart destination management marketing like never see example point collect million data point yearly allows insight mention aim collect billion geolocated activity per year provide robust data behavior tourist destination guide create available tourist
180,10,"Make curated, official and trustworthy information about tourist destinations and points of tourist and cultural interest freely accessible to citizens and tourists from anywhere in the world. The information will be available in various languages and formats to make it universally accessible.

All the information will be available both in our app CultuAr and through the tourist destination website for citizen and visitor convenience.

Our goal is to receive and fulfill over 30 million request for information about at least 30.000 points of interés by 2025.",Ready for publishing,make curated official trustworthy information tourist destination point tourist cultural interest freely accessible citizen tourist anywhere world information available various language format make universally accessible information available app cultuar tourist destination website citizen visitor convenience goal receive fulfill million request information least point interés
181,10,"The website agora-tourism-bordeaux.com was developed with several goals: 
- Give neutral information about tourism in Bordeaux. Full transparency, we do tell it all so people can make up their own opinion about tourism and events in their city.
- Follow the open governance process and the implementation of the strategy
- Empower our community offering an online participation option. Around 250 online participations have been registered between September 2021 and January 2022.

Link: https://agora-tourism-bordeaux.com/

UPDATE: the objective is to keep updating this website to bring neutral data about tourism to citizens, so that they can make up their own opinion about tourism activity in their city with all the information needed. The target is to maintain a high number of visitors per month (quantitative objective will be settled in September due to GDPR compliance process). A poster campaign in the streets of Bordeaux has been organised to encourage participation in the website.",Published,website agora tourism bordeaux com develop several goal give neutral information tourism bordeaux full transparency tell people make opinion tourism event city follow open governance process implementation strategy empower community offering online participation option around online participation register september january link update objective keep update website bring neutral data tourism citizen make opinion tourism activity city information need target maintain high number visitor per month quantitative objective settle september due gdpr compliance process poster campaign streets bordeaux organise encourage participation website
182,10,Implementation of our new destination digital platform that includes full offer information (2025),Published,implementation new destination digital platform include full offer information
183,10,"Creation of a European portal on information on hospitality and tourism-related services

CNA Turismo e Commercio has already emphasized, during a recent initiative with the Ministry of the Tourism, the need for the creation of a national portal (with an interface of European nature) in order to make available to tourists and travelers information about hospitality and services related to tourism. This consciousness-raising activity will be reproposed in the course of a specific initiative within the programmming provided at the TTG travel experience from 12th to 14th October at Rimini Fiere.",Published,creation european portal information hospitality tourism relate service cna turismo commercio already emphasize recent initiative ministry tourism need creation national portal interface european nature order make available tourist traveler information hospitality service related tourism consciousness raise activity reproposed course specific initiative within programmming provide ttg travel experience th th october rimini fiere
184,10,"DER Touristik integrates sustainable aspects into travel and creates authentic holiday experiences. DER Touristik promotes and characterises certified products and makes it easier for customers to choose and book. Wherever possible, sustainability standards are implemented within the supply chain, to protect both humans and the environment. 

Therefore, DER Touristik has set itself the goal of 25 % of the hotels in the core portfolio being certified with a Sustainability certificate according to the GSTC standard. 
In order to advance on this path, DER Touristik will be requiring 100 % of the management and
property hotels to have Travellife certification by 2025. 

Also for the companies in the destinations, DER Touristik wants to ensure a good sustainability standard and therefore the so-called DMCs (Destination Management Companies) complete a Travellife certification by 2025. 

Climate change is changing our world, making it one of the biggest threats of the 21st century. A first decisive step towards more climate-friendly travel is transparency: Emissions are calculated uniformly and presented for employees and customers, so that more climate-friendly travel could be offered and booked in the future. 

DER Touristik has therefore led the Centre for Sustainable Tourism together with Futouris (ZENAT) mandates to compile a market overview of the existing climate accounting systems. The overview showed that there are already good calculation bases for emissions from air traffic and methods that also determine the climate impact of other travel components. However, there is no climate accounting standard covering all elements of the tourism value chain and at the same time that would be accepted from as many partners as possible as an industry standard.

That’s why DER Touristik is now actively involved in Futouris’ industry project “Klimabewusst reisen”. By the end of October 2022, Futouris members develop in cooperation with the Institut for Sustainable Development Tourismus GmbH and the German Travel Association DRV a standard for climate accounting of Travel to find industry-wide support. 
On the basis of this standard, CO2 emissions will be reported uniformly for all journeys in the future. 
This is how customers can make an informed decision and the industry’s absolute emissions 
substantially and measurably lowered.",Published,der touristik integrate sustainable aspect travel creates authentic holiday experience der touristik promotes characterises certified product make easy customer choose book wherever possible sustainability standard implement within supply chain protect human environment therefore der touristik set goal hotel core portfolio certify sustainability certificate accord gstc standard order advance path der touristik require management property hotel travellife certification also company destination der touristik want ensure good sustainability standard therefore call dmcs destination management company complete travellife certification climate change change world make one big threat st century first decisive step towards climate friendly travel transparency emission calculate uniformly present employee customer climate friendly travel could offer booked future der touristik therefore lead centre sustainable tourism together futouris zenat mandate compile market overview exist climate accounting system overview show already good calculation base emission air traffic method also determine climate impact travel component however climate account standard cover element tourism value chain time would accept many partner possible industry standard der touristik actively involved futouris industry project klimabewusst reisen end october futouris member develop cooperation institut sustainable development tourismus gmbh german travel association drv standard climate accounting travel find industry wide support basis standard co emission report uniformly journey future customer make informed decision industry absolute emission substantially measurably lower
