,Topic,Pledge,Pledge status
199,11,"International Agreements protect cetaceans in the Mediterranean sea: the Barcelona, Bern and Bonn Conventions and ACCOBAMS (Conservation of Cetaceans of the Black Sea, the Mediterranean Sea and
Contiguous Atlantic Area). As commercial Marine wildlife watching/dolphin watching, we voluntarily follow The Code of Good Conduct to approach cetaceans held by ACCOBAMS.
In our tours, we
follow simple rules to approach dolphins, which helps us minimize our impact and disturbance on the species. Moreover, we share with our guests the good practices and the correct way to interact with wildlife.
We also work on involving other players in Marine Tour industry to follow the Code of Conduct,
 In 2023-2025 we will:
-          Before the summer each year Organize one webinar for the general public and one webinar for teachers to involve schools.
-          We will write four blog posts in March, April, June and July about the importance and the pros of following the Code and what species is possible to encounter in Maltese waters.
-          We will present the Code of Conduct during our tours to all our guests and show them how to apply it
-          Yearly we will provide two workshops and explanatory meetings other marine tour operators to improve their offers towards more sustainable services.
-          We commit to Report to the authority any illegality we observe",Published
200,11,"EnviroNaut Project of which EBI is a partner, will create the first-ever curriculum for the position of “Environmental Officer in Nautical Tourism” and deliver it in form of an online (and free) course.
Therefore, we take this opportunity to pledge that, from the EnviroNaut project, we will promote easily accessible good practices, peer learning and networking for SMEs, including them in the ""Environmental Officer"" course that we are developing.
The course will be available from January 2024. It will be online, free of charge and a pioneer course in the sector.
Currently, the project partners are in the process of development, as the project is active from February 2022.",Published
201,11,"We have implement a partner hub with shared resources and best practice discussions for our collaboration partners in 40 local destinations, which we continue to elaborate. We will also provide online training sessions on sustainability and resilience at least 2 times a year, with an objective to have all partners having engaged in training by year 2025.",Published
202,11,"One of the main programs of Amfiteatru Foundation is ""Productive Hospitality & Responsible Tourism"" and the objective is to transfer the theory of responsible tourism into concrete actions. This includes trainings, events and digital collaboration platforms. 
We will provide career development trainings for almost 1.000 people in three regions (Center, Muntenia, South-East) in tourism related jobs. 
The International Forum for Responsible Tourism was launched in 2013, it is the main event dedicated to responsible tourism in Romania. In 2023 the 8th edition of the event will take place in September and we expect a participation of 200 professionals from Romania and Europe, representatives of public authorities, scholars and researchers, leaders of representative organisations. 
Tourism Observer (www.observatorturistic.ro) is a tool that provides market information
that helps the public sector, as well as for companies and professionals from the hospitality industry and related fields. The platform publishes a monthly bulletin and analysis regarding best practices in responsible tourism. The goal is to increase readership with 50% and facilitate communication between professionals through our platform and online events (see https://www.youtube.com/@fundatiaamfiteatru3981).",Ready for publishing
203,11,"1) Together with the partners, implement Balkan Green, educate and support the destinations and businesses to use the existing and new digital platforms. From today´s viewpoint, the objective could be to have reached a minimum of 50 destinations and 100 businesses with education and support activities by 2025. N.B. We might tweak these numbers as the regional collaboration evolves! 
2) Keep all Montenegro´s destinations informed of recent and relevant best practices in our dedicated Slack group (started May 2021), with updates at least 1x every month.
3) Continue with the Travel Massive networking and organise educational events (online, on site and hybrid) in Montenegro (started 2017, by Oct 2022 there were 19) for tourism companies and destinations at least 4x a year.
4) Support international education to reach Western Balkan tourism stakeholders, private and public, at least 1 x a year, by supporting the organisation and programming of educational-experiential events – the 1st one taking place 14-16 November 2022 in Tivat - #TTTT22 – Tivat Tourism Think Tank – Regeneration for the Region that is planned to become a yearly returning event.",Published
204,11,"NBTC has developed several tool kits for public authorities on various aspects of destination management: from guideline visitor management and best practices on involving residents to toolkit on making local produce experienceable that are all available on our website (www.nbtc.nl). We have a lot of networking groups that share a challenge and want to work on it together (from network visitor management in nature area's to frontrunner group on resident's profit on tourism). They share knowledge and spread it to the rest of the county in sessions, presentations, publications and new toolkits.  A digital platform is being launched in Q2 2023 where best practices will be shared for each step of the guideline Destination Management by and for stakeholders of the hospitality economy. (see the description with topic  6) We aim to add at least 10 new best practices every year from 2024 onwards.",Ready for publishing
205,11,"Rainmaker, as an affiliate member of the UNWTO, partners with Tourism Authorities, Tourism Ministries, Tourism Boards, Tourism Associations, and forms Public Private Partnerships of Joint Ventures to enable destinations and their hospitality and tourism businesses. They rapidly implement democratized and inclusive digital enablement, capacity building, platforms, and applications for all stakeholders in a destination. This allows them to onboard about 1000 hospitality and tourism businesses per week, in order to help them rapidly recover from the pandemic, become more resilient, independent from market-dominating foreign platforms, taking back control of visibility, digital presence, and distribution in order to restore economic sustainability.

Through this approach, Rainmaker provides easily accessible best practice, peer learning, and networking opportunities for SMEs (Small and Medium-sized Enterprises) in the destination. This allows SMEs to access the knowledge and resources they need to improve their businesses, learn from the experiences of others, and network with other tourism industry professionals. This in turn positively impacts the SMEs and the destination by providing a more efficient and effective tourism industry, leading to increased economic sustainability and growth.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing
206,11,"The Global Association for the Attractions Industry (IAAPA) represents more than 6,000 attractions, suppliers, and individual members from more than 100 countries. In Europe, we have over 1,400 members, including professionals from amusement parks, theme parks, attractions, water parks, resorts, family entertainment centres, zoos, aquariums, science centres, museums, manufacturers, and suppliers. 

Our industry is a key contributor to Europe’s tourism ecosystem through our impact to EU initiatives such as the EU Tourism Manifesto, whilst our diverse membership attracts international, as well as national visitors. 

IAAPA recognises its value is found in its diverse and engaged membership. We strongly believe in peer learning and the sharing of best practices together with the power of education. As such we are committed to promoting peer learning amongst our membership and in our sector. To this end, we leverage our unique educational platform that provides our members with access to expert knowledge and resources, as well as opportunities for networking and collaboration. 

Our educational programme combines a mix of in-person and online learning together with specific certification courses. In 2022, 300 hours of educational content were available to our members, with 100 hours produced by our Brussels office. 

In addition, and towards the strengthening of this commitment, IAAPA is developing a yearly survey of our members to gather feedback and insights on industry trends, challenges, and best practices. Based on the results of this survey, the goal is to produce a comprehensive document that highlights key findings and recommendations for our members to consider in their own operations and gain insight into potential solutions and objectives. 

Through these efforts, we strive to create a supportive and collaborative environment where our members and other key stakeholders in the attractions industry can learn from one another, share ideas, and drive innovation and growth in our sector.",Ready for publishing
207,11,"Our Chamber of commerce is partner of the Enterprise Europe Network (https://een.ec.europa.eu/)  will organize 3 living labs during 2022 with a local Mountain association in Piedmont. During each of these living labs we will present best practices and per learning experience about Tourism and sustainability, Tourism and Sport, Tourism and Digitalization.
The programme of the 3 living labs is under costruction but hte dates are already fixed: 17 May 2022, 21/06/2022, 13/09/2022",Published
208,11,"Emotur lab:  https://emotur.ulpgc.es/en/ - https://euroemotur.eu/

Within the European project Euro-Emotur project (COSME). Euro-Emotur. The journey towards digitalisation. Thinking digital tourism through neuromarketing and emotions.   TOURINN-01-2020. 101038111
Our organization commit to:

Identify and publish at least ten SMEs´ best practices
Organize at least three events for SMEs for networking",Published
209,12,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work through EU cooperation projects with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean.
By 2025/2030, we expect to have implemented at least one project aiming to promote new models of tourism development that are in line with the current and future challenges related to climate change",Published
210,12,"Creation of an online tool (App) that allows the community and tourists to participate in environmental and social activities to offset their carbon footprint.
App to be lunched by 2023",Published
211,12,"Tourism and particularly tourism transport, contribute significantly to global environmental challenges, and effective policies to address these challenges remain largely absent. The research group Sustainable Tourism & Transport, therefore, strives for meaningful changes that contribute to a reduction of tourism’s environmental footprint by creating an impact on relevant tourism and environmental policy domains and on the awareness and practices of relevant organisations and the public at large. 

In our research, we aim to bridge the knowledge gap between the role of tourism and tourism transport in several global environmental challenges (notably climate change, but also biodiversity loss and health). We use our research to help businesses, consumers, and policymakers to take actions that effectively address these challenges.  

Our research adopts an integrated perspective on tourism that include all tourist flows to and from destinations (domestic and international, and all travel purposes, including business travel). We do so by measuring environmental impacts and developing mitigating policies and strategies, including assessing the societal and economic implications. The results are not only sound reports and articles but also innovative research approaches and tools based on a solid translation of science to the sector practices. 

To this end, we: 
1.	Measure and forecast the effects of tourism and tourism transport on the environment – particularly carbon dioxide (CO2) emissions – and possible consequences for consumers and businesses under current and alternative policy regimes. 
2.	Examine and influence processes of policy formation to guide policy actors in the development of alternative policies that effectively address specific tourism-related environmental challenges – particularly climate change. 
3.	Explore innovative approaches, measures, ideas, and new applications.
4.	Develop innovative tools – including serious gaming applications and enlightening translations of scientific outcomes for both policy-makers, the public, and business leaders – to assist policy-making.

To create impact with our research, we aim for scientific integrity, quality, credibility, societal relevance, and consistency. Staying true to science is central to our approach. We only engage in consultancy and research projects when there is a direct link to our own research track record or knowledge of the scientific state-of-the-art. And we aim for solid, pro-active science communication and inclusive engagement with all relevant stakeholders across the political spectrum. 
We do so by:
1	Pursuing relevant research and consultancy projects in the tourism and environmental policy domain, with a focus on tourism-related transport issues. 
2	Integrate the findings in reports and outputs that are immediately relevant for stakeholders in this domain because they provide science-based directions to ongoing policy debates. 
3	Publishing the findings of our research in reputable, international peer-reviewed academic publications. 
4	Present and discuss our findings and hypotheses at international scientific and applied conferences and workshops. 
5	Engage with policymakers and the general public through mainstream media and other (social) media channels to address key societal challenges based on our research. 

The Sustainable Tourism research group currently consists of six dedicated researchers, who supervise over twenty master’s and undergraduate students, are commissioners of another ten to fifteen thesis students, conduct five to ten projects, and publish many scientific and professional papers annually. Research is disseminated at international workshops, conferences, and both national and international social and public media and is available on the BUas Research Portal: https://pure.buas.nl/en/organisations/centre-for-sustainability-tourism-and-transport-cstt",Published
212,12,"Project ""Rural Bike Conecta"", a sustainable network of cyclable paths connecting each natural protected space in our Region with the others, what practically means connecting almost every point of Castilla-La Mancha (by 2025).
Project to deploy a 80 astronomical observatories and viewpoints all over our territory in order to boost astronomical tourism as a sustainable way to enjoy rural areas (by 2025).",Published
213,12,"EcoMarine Malta utilizes part of the profit of the various activities to fund its independent research about Bottlenose dolphins and the interaction between dolphins and aquaculture sites in Malta. We are developing a photo-identification catalogue to share with universities and organizations working in the Mediterranean basin to increase knowledge about such a population. EcoMarine aims to bridge science and the general public, creating awareness about the marine environment and promoting sustainable marine life watching activities in the Mediterranean area and other countries. We recently launched a Citizen science project called SightMe. The aim is to engage boat users to report sightings of cetaceans and turtles in Maltese and Mediterranean waters to increase information about the presence and distribution of the different species. 
We also want to support other countries, especially small islands and developing countries, to follow the EcoMarine Malta model to develop Social Enterprises aimed at conserving the marine environment and local people's employment.

Targets: 
Share the photo-identification catalogue by the end of 2022 with Universities and Organizations working in the Mediterranean sea. 
We will participate in European and National calls and Tenders at least two times each year with the objective to increase the number of boats involved in marine life watching and continue the research on dolphins with more sophisticated techniques. 
Analise and share data collected at Citizen science platform SightMe.org as a public database available by the end of each year starting from 2023
By 2025 we aim to have established a pilot project in Kenia, in collaboration with Taste Roots Cooperative Society and local stakeholders, to create an alternative to mass tourism in the area by training the local community and stakeholders and providing them with tools to develop sustainable tourism with a strong educational component.",Published
214,12,"We have conducted and still conduct EU projects on measuring and fostering sustainable tourism, financed by the Alpine Space, COSME and Central Europe programmes (e.g. ClimAlpTour, Access2Mountain, INTER-Regio-Rail, InRuTou, SilViAlp).  We are now submitting new project proposals and look forward to being financed to advance the academic and transfer-oriented sustainability field.",Published
215,12,"The Ministry is going to finance procurement of equipment for the development of adventure tourism in rural areas in  2023
The aim is ""Improving the tourist offer in rural areas with an emphasis on adventure tourism in order to improve the quality of services through the purchase of equipment"".
The targets number is 15 companies 
This process has already begun in March 2023",Ready for publishing
216,12,"Actively search R&I collaboration opportunities and by 2025, as a consultancy and as the Balkan Green group, to have become a partner in at least one European project developing digitalisation for tourism - especially open data and smart solutions in destination management.",Published
218,12,"NECSTouR plans to align this topic with its activities as partner in the MED Sustainable Tourism Community (STC). STC is the second generation of a horizontal project aiming to find solutions for the protection and promotion of natural and cultural resources in the Mediterranean area through a coherent strategy of Community Building, Communication and Capitalisation. The Community gathers 22 projects co-funded by the European Regional Development Fund (ERDF) dealing with sustainable tourism in coastal destinations tackling the priority “environmental protection”. This means that the Community is a source of tested project outcomes dealing with tourism product diversification, addressing negative impacts into the landscape and society, tools and methodologies to better manage and measure tourism. As part of the Climate Action Plan implementation our work will be to analyse which of those examples can fit our (renewed) knowledge hub to guide destinations into the greening transitions. For this at least one more workshop will take place before the ned of 2022. NECSTouR being the partner in charge of the capitalisation activities and the “EU” antenna, transfers the Community’s outcomes to our knowledge hub and mainstreams policy recommendations into the European agenda. The capitalisation is being made through cooperation events and regional working groups.",Published
219,12,"See nr 9: After the development of the Roadmap for Climate-neutral tourism the network will now work on implementing, researching and taking concrete actions from 2023. We aim to reach 100 destinations and stimulate them to implement and start pilots. We help at least 5 cities in 2023 to develop a local roadmap for sustainable tourism.   And we have a impuls-budget in 2023 to co-finance destination management pilots from the region that are sustainable.",Ready for publishing
220,12,"A Tourism Innovation Development Network (RDIT), with the collaboration of the Tourism Innovation Lab in Angers, initiated in 2020 a collective intersectoral regional dynamic which must be continued to stimulate innovation in the tourism market. The underlying objectives are to better support innovative project leaders and to encourage tourism and non-tourism companies interested in the tourism market to make greater use of innovation, in collaboration with our partners such as incubators, technopoles, competence centres, ...
This support will focus on the key sectors of tourism of our territory: nature tourism in connection with the national parks by supporting environmental excellence, agrotourism and wine tourism which were strongly supported during the last programming period (more than 150 projects financed between 2016 and 2021), nautical tourism (e.g. the CAPITEN project financed by Interreg Atlantic Area).
Over the period 2022-2028, we will extend our area of focus to sustainable cultural tourism via a dedicated regional call for projects in order to further exploit the tourism potential of heritage sites and monuments with the aim of developing their attendance, modernising their offers, and making them evolve in line with the expectations of customers.",Published
221,12,"At the local level we have a long partnership with the Nouvelle-Aquitaine region whom we share common views on sustainable topics with; moreover, we started to sketch together (with the regional committee of tourism) a plan for sustainable tourism in the Nouvelle-Aquitaine area. The idea here is to draw an Ocean friendly region on tourism topics with the tenet ""avoid, reduce and compensate"". SFE will support the Nouvelle-Aquitaine region businesses and industries towards blue tourism through ocean friendly restaurant campaign (see topic 7), our work about green sport on the aspect of the particular attractiveness of the coastal area and of nautical sports. We will also have a specific focus on cruises (see topic 6) and how we can support Nouvelle-Aquitaine ferries. This plan will take place in 2023 to 2026 with a long term partnership. Durant 2023 and 2024 we will work on major events, especially sport event (with rugby world cup and olympic games) on how to make them more sustainable. SFE develop a robust expertise on sustainable sport, leading an European project, the Green Sport Hub Europe. 2024 will be also a year of reflexion on how we can raise awareness on ocean protection among the Nouvelle-Aquitaine residents, as the gran majority of costal touriste are inlanders. With the help of the region, it could be a massive publicity campaign. At last, 2025 and 2026 will be on slow mobility through the region, with train as a center piece, linked with other way of moving (by foot, public transportation, bike, skate, and why not, surf!). A major work will be on working with municipalities (as transport is a part of their prerogatives) to design those path.
Is success, we aim to work on this topic with other region and/or islands (ideally french Caribbean islands).",Ready for publishing
222,12,"CLIMATE-ORIENTED TOURISM
Current situation: By participation in the European Union’s mission named 100 Climate-Neutral and Smart Cities by 2030 (Mission for cities), the City of Zagreb plans to implement the activities under three priorities which encompass all phases of enhancement of single components contained in the measures. By increasing energy efficiency (“energy efficiency first”), by strongly stimulating the development and use of renewable energy sources, whose current share in energy balance of the City of Zagreb is almost insignificant, and by digitalisation of energy infrastructure (smart networks and remote reading of energy and water consumption), a systematic and synergistic transformation of the whole system will be ensured, as foreseen by the European Green Deal guidelines.
Stimulation of the introduction of zero-emission vehicles and the accompanying infrastructure will resolve one of the biggest problems in the area of the City of Zagreb, i.e. the continuously growing, negative, impact of emission gases from the traffic sector. Finally, considering the growing negative impact of climate changes, a series of activities concerning the adaptation to climate changes and local negative weather extremes has been defined in order to increase the resilience of the overall critical infrastructure and enhance the readiness of civil protection system. Urban planning, i.e. the processes of landscape planning in the City of Zagreb (PPGZ (Spatial Plan of the City of Zagreb), GUP (General Urban Development Plan), UPUs (Urban Landscaping Plans) etc.) are a very important legislative lever of the City, which has to be used by introducing energy and climate policies in those landscape planning documents in order to stimulate the green transition processes. 
Measure: Drafting documents which will define the activities, measures and projects by systematically and comprehensively identifying the needs of each single part of the infrastructure which impact the energy efficiency and reduction of greenhouse gas emissions and other detrimental compound emissions. 
Objective: Setting up and implementing the measures, activities and projects which will save energy, improve air quality and finally enhance the quality of life.",Published
223,12,"Timiș County Council had applied to BeCultour project funded by the European Union’s Horizon 2020 research and innovation programme being now part of this community of passionate regional representatives committed to shaping the future of circular cultural tourism in their territory - https://becultour.eu/timis-county-council-romania. 

Concrete target: designing an action plan by the end of the project - 2023 and to implement after in our ecosystem by cooperating with stakeholders; The actions we will include in our action plan are: 
Program for recognizing the quality and sustainability of tourism services and products (label for local services and products);
Incentive program for accommodation units (3 nights accommodation at price of 2 nights accommodation);
Implementation by tourism operators of the circular economy elements (use of green energy, use of short supply chains - purchase products directly from local producers);
Awareness of the importance of preserving and capitalizing on the built heritage by communicating opportunities or benefits to owners of houses in the area (benefits regarding the use of natural materials in the construction or arrangement of houses, opportunities for the development of tourism activities).",Ready for publishing
224,12,"• TUI and the TUI Care Foundation will partner with the Greek government of the South Aegean Region in Greece to deploy the Co-Lab project in Rhodes during the next five years. In collaboration with other local stakeholders, the initiative will investigate and develop sustainable solutions in tourism that will serve as blue-print and leading example of transformation for other tourism destinations. The concept of the Rhodes Co-Lab is built on the structure of four cornerstones: 
o	Create green economic growth 
o	Green transformation and circular economy 
o	Restore biodiversity and protect the natural environment 
o	Strengthen positive social and economic impact of tourism.
• TUI will focus on leveraging data to drive the sustainable transition. By building on tech solutions which largely rely on data (e.g. the water cleaning systems in hotels), we aim to increase the transferability of that knowledge to implement data-driven solutions in more hotels.",Published
225,13,We use the CO2 footprint calculations model of professor Paul Peeters. We will do more research on this in 2023 and investigate how and when we will use PEF/ OEF methods.,Ready for publishing
226,14,"₋ Amadeus has created a travel and mobility data space called Eona-X, based on the Gaia-X principles along with other European travel and tourism stakeholders. Our will is to build new cooperative models and data driven business cases for the benefit of the entire travel ecosystem. The first use case is focused on multimodality. By 2025, Eona-X should play a key role to allow data exchanges in real time between mobility and tourism players across EU
₋ Amadeus has joined a consortium to respond to the call launched by the Digital Europe Programme on the Tourism dataspace and we want to connect this initiative to the existing Eona-X.
- Amadeus is engaged in the IPCEI on Next Generation Cloud Infrastructure and Services. We are developing a project concept to set up a Data Exchange Platform that is needed to orchestrate the flow and exchange of data. By 2030, this cloud based platform should allow cross fertilization between the different sectoral dataspaces.",Published
227,14,"AnySolution is vicepresident of the Spanish National hub of Gaia-X and co-leader of the tourism data space working group. It will contribute to the generation of sound tourism data spaces in tourism. 
We have also submitted a proposal to the EU call. 
We also work with EONA-X 
By 2030 we want to be members in the Europea Data Space and we hope to have supported the creation of two tourism data spaces.",Published
228,14,"Arctur`s Tourism 4.0 is a partner in two Digital Europe projects:
i) Dates - data spaces for tourism (duration 12 months)
ii) 5D Culture - data spaces for heritage projects (24 months)
Both projects are preparatory activities.
Dates with exploring approaches and options for the deployment of a secure and trusted tourism data space, ensuring transparent control of data access, use and re-use. Focus is on the development of governance and business models while providing a shared roadmap that will ensure the coordination of the tourism ecosystem stakeholders and the connection between data ecosystems at the EU level and interconnected data spaces in other sectors.  5D Culture focuses on exploring different reuse dimensions of the 3D content, in total demonstrating different scenarios.
 
Arctur itself is leading the Tourism 4.0 initiative with 200+ international partners. One of the T4.0 Innovations is Tourism 4.0 Core - a semantically organised data storage, where applications store their data. It includes tools for search and merging of data and supports secure exchange of enriched data between stakeholders. Use of joint data catalogue enables discovery, search, understanding and increases trust in data. T4.0 Core supports sustainable development of services and products, improves interaction of stakeholders in development, and increases added value of services. 
More: https://tourism4-0.org/core/

Target for 2023: Actively contribute with the Tourism 4.0 knowledge to the development of the EU Code of Conduct for digital data sharing.
Target for 2025: The tourism 4.0 ecosystem (of 200+ partners) will use the agreed EU Code of Conduct for digital data sharing in the tourism data space.",Published
229,14,"Building the national Data Space Tourism, we are in exchange with international and European associations and initiatives (e.g. DATES, IDSA/ DSSC, AURORAL Project). We operate the national data space on GAIA-X standards. The memorandums of association with the partners will be officially signed in May 2023 (Modul university, Ministry of Labor and Economics of Austria and Data Intelligence Offensive DIO) and the data space official website will be launched in summer 2023. 

We cooperate with an Austrian startup Nexyo installing Gaia-X compliant connectors for data exchange and we have currently several use cases ongoing with the use of mobile provider data and 3 to 4 project partners. We are currently starting a cooperation with German Mobility Data Space where we will work on a joint use case (German travellers going on vacation to Austria and facing traffic jams) where we will exchange data between two data spaces. The use case will be kicked-off in the next months and will be completed in 2024.",Ready for publishing
230,14,"Andalusia through the NECSTouR ToTLab is partnering with the key European data players in a way we can contribute to the feasibility analysis of the ""European Tourism Data Space"". We have presented a proposal and it has been selected, therefore by 2025 we will support the work with respect to:
- Identify a set of priority data set and data themes and potential use cases.
- Identify roles and interactions in a European Tourism Data Space
- Outline an Open and inclusive Governance framework 
- Work on a roadmap for the implementation and operationalization of the Governance & Business Framework
- Work on community Building and Ecosystem Development activites
IF WE ARE NOT SELECTED, we will still participate as co-leaders in co-leading the Spanish Tourism Working Group in Gaia-X initiative. By 2025 we commit to identifying 3 use cases and working within the partnership of NECSTouR Tourism of Tomorrow Lab in supporting the creation of a uniform, streamlined and transparent Tourism data ecosystem for the benefit of the greater community",Published
231,14,"eu travel tech has provided its support to a consortium of organizations seeking to lead the work on the preparatory action for the tourism data space. This consortium also includes a member of eu travel tech as a main partner. 

Should this consortium be selected, eu travel tech will be involved in the implementation of the preparatory action in an advisory role, providing guidance and expertise to the implementing parties. Nonetheless, we will continue to closely follow the development of the tourism data space outside of this consortium as well, also through the ongoing work on the Code of Conduct for data sharing in tourism. 

Commitments:
Eu travel tech commits to supporting the objectives of the EU Pact for Skills (within our role as an association), including contributing to the common objective of training/education and up/reskilling4 of 10% of the tourism workforce each year starting in 2022 until 2030.",Published
232,14,"The ToTLab is partnering with the key European data players, and we will actively contribute to the “European Tourism Data Space” consortium.",Published
233,14,"Rainmaker, through the Tourism Cloud Platform and the Destination Network Open Platform and Ecosystem, provides a technical implementation for the tourism data space by providing a cloud-based open data approach data store with a unified access in dashboards, using APIs or exports. The data store is a single point of truth storage, linked and synchronized with all respective applications, and made available to all respective stakeholders. This allows destinations and their SME businesses to have access to accurate and up-to-date information which can be used to make informed decisions about their tourism industry and respond to changing market trends.

The platform ensures that the data is accurate, reliable and easily accessible, which positively impacts destinations and their SME businesses. By having access to this data, SMEs can better understand customer behavior, improve their marketing strategies and increase revenue. The platform also enables destinations to have a better understanding of the tourism industry, and to improve the overall tourism experience for visitors.

In summary, Rainmaker provides technical implementation for tourism data space by providing a cloud-based data store that is easy to access, accurate and reliable, this positively impacts destinations and their SME businesses by providing them with the necessary information to make informed decisions about their tourism industry and respond to changing market trends, which in turn leads to a more efficient and effective tourism industry, which in turn positively impacts the destination.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing
234,14,"Development of the Regional Digital Tourism Osservatory (OTD)
After the implementation of Smart Destination Project, co-financed by Italy-France Territorial Cooperation Programme, Tuscany Region is implementing the regional data lake on tourism, focussing on interoperability of data.
The data lake has been created starting from different data sources (internal and external), integrating them, defyining a first set of KPI and developing some business intelligence tool (i.e. dashboard). The process of increasing the data lake in on going, taking into consideration also other type of data sources (public/private, national/european), as well as the integration of different data and the development of new business intelligence tools and analysis.

The activity benefits also from the pariticipation of Tuscany Region to Necstour.

TARGET 2023-2025

Improved the availability of data and information on the tourism phenomenon, through:

2025:
- increase in data sources that feed the regional tourism data lake (annual)
- putting data and analysis online (annually)",Published
235,14,"Within the European project Euro-Emotur project (COSME). Euro-Emotur. The journey towards digitalisation. Thinking digital tourism through neuromarketing and emotions.   TOURINN-01-2020. 101038111

Our organization commits to:

Launching a hub and open market -sharing information- to connect tourism SMEs with technological companies and OBS, applying a living lab methodology by 2025.
Improving the digital visibility of tourism SMEs offer initiatives by increasing dissemination of their initiatives -hub related- on Social Media, reaching at least 12 post per year by 2025.",Published
236,15,"AR Vision has developed an application called CultuAR to improve tourist experiences through extended reality, augmented reality, virtual reality, big data and artificial intelligence.

AR Vision 2049 S.L. makes, and undertakes to continue making, a continuous effort in terms of research and development for the continuous improvement of CultuAR in terms of:

1. Promoting the knowledge of the cultural heritage of tourist destinations.
2. Improving the customer and user experience.
3. Generating data to improve efficiency in the tourist management of destinations.
4. Improving accessibility of information.
5. Increasing tourism sustainability through our solution.
6. Reducing signaling costs and consumption of resources.
7. Inclusion of new information representation formats.
8. Improvement of information quality provided about the points of interest of each tourist destination.
9. Generating of a positive impact in the preservation and promotion of cultural heritage, economy, employment and social inclusion in the destinations that use our tool.

CultuAR currently has a community in Spain of more than 150 tourist destinations and information on almost 2,000 points of tourist and cultural interest.

Our goal for 2025 is to expand our community to more than 1,000 destinations in Europe and another 1,000 in the rest of the world, exceeding 30,000 points of interest in total.

You can find more information about our solution in the attached document.",Ready for publishing
237,15,"Aceccat is a business association and technological cluster focused on applying tools for the digitization of SMES and tourist destinations. We are developing a digital platform for rural ecosystems and tourism assets such as museums for routes of different types of tourism, such as industrial tourism, incorporating AR and VR tecnologies(Metaverse) and artificial intelligence with marketing in real time.
We work together with the agency for the digitalization of smes in Spain red.es(www.red.es) through the program of the creation of acceleration offices for the digitalization of the rural environment
Our goal is to launch the platform in 2025",Ready for publishing
238,15,"AnySolution has developed a specialsied smart tourism platform solution for the management of data, indicators, etc in Smart Tourism Destinations, and continues to improve and update it to the needs of current demands. This is the NADIA platform. 
By 2030,  the idea is that at least fifteen municipalities will be using the NADIA platform.",Published
239,15,"Tourism 4.0 FLOWS – analysis of tourist flows 
Flows is an innovative solution for data-driven local destination management to monitor carrying capacity and well-being. FLOWS enable GDPR-compliant advanced analyses and forecasts of tourist movements based on anonymised data from a multitude of different sources (traffic counters, data from mobile operators, freely accessible Wi-Fi networks, tourist tax, etc.). A simple user interface will display traffic flows: excessive traffic loads, seasonal deviations, entrances/exits to the destination, movement within the destination, etc. It displays the analyses in the selected time interval (year, month, week, day), forecasts based on historical data, weighted by special parameters (weekend, weather, national or holiday in other countries, etc.). FLOWS analysis enables us to predict the tourist flows and make the right decision for supporting the development of balanced and geographically distributed sustainable tourism. With FLOWS, we can influence the tourist flows and their behaviour. Flows technology and knowledge were already used in the T4.0 Alpine Flows project by setting up a footfall monitoring system for the visit to hiking trails. The system will collect up-to-date data on visits to support the sustainable rerouting of Alpine flows. 

More about Flows: https://tourism4-0.org/flows/ 

Our commitment until 2025:
We aim to implement T4.0 Flows on an EU level and to support at least 5 tourist 
destinations to make better destination management decisions by using the information on tourism flows. 
We commit to actively sharing our knowledge on the EU level on tourism flows management in at least 10 national and international events for tourism stakeholders/per year.",Published
240,15,"One use case in the Data Space project was focused on analyzing tourist streams and thus imroving the bus scheduling in the region. Another use case covered calculation of energy consumption in a tourism region and improving energy purchasing consitions based on the forecast. At the National Tourism Day in May we will promote VR-Technology, for instance.",Ready for publishing
